FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg1119tg81544,CHKA-GDPD5,CHKA,1119,GDPD5,81544
hg1119tg5091,CHKA-PC,CHKA,1119,PC,5091
hg1119tg159963,CHKA-SLC5A12,CHKA,1119,SLC5A12,159963
hg1119tg143570,CHKA-XRRA1,CHKA,1119,XRRA1,143570
hg1121tg80333,CHM-KCNIP4,CHM,1121,KCNIP4,80333
hg1121tg56062,CHM-KLHL4,CHM,1121,KLHL4,56062
hg5119tg2175,CHMP1A-FANCA,CHMP1A,5119,FANCA,2175
hg25978tg25978,CHMP2B-CHMP2B,CHMP2B,25978,CHMP2B,25978
hg51652tg57669,CHMP3-EPB41L5,CHMP3,51652,EPB41L5,57669
hg51652tg4627,CHMP3-MYH9,CHMP3,51652,MYH9,4627
hg51652tg65055,CHMP3-REEP1,CHMP3,51652,REEP1,65055
hg51652tg83699,CHMP3-SH3BGRL2,CHMP3,51652,SH3BGRL2,83699
hg29082tg122704,CHMP4A-MRPL52,CHMP4A,29082,MRPL52,122704
hg128866tg9139,CHMP4B-CBFA2T2,CHMP4B,128866,CBFA2T2,9139
hg128866tg84905,CHMP4B-ZNF341,CHMP4B,128866,ZNF341,84905
hg92421tg79752,CHMP4C-ZFAND1,CHMP4C,92421,ZFAND1,79752
hg51510tg1495,CHMP5-CTNNA1,CHMP5,51510,CTNNA1,1495
hg51510tg27290,CHMP5-SPINK4,CHMP5,51510,SPINK4,27290
hg51510tg81671,CHMP5-VMP1,CHMP5,51510,VMP1,81671
hg1124tg4967,CHN2-OGDH,CHN2,1124,OGDH,4967
hg1124tg8935,CHN2-SKAP2,CHN2,1124,SKAP2,8935
hg26973tg79731,CHORDC1-NARS2,CHORDC1,26973,NARS2,79731
hg11261tg302,CHP1-ANXA2,CHP1,11261,ANXA2,302
hg11261tg143872,CHP1-ARHGAP42,CHP1,11261,ARHGAP42,143872
hg11261tg5888,CHP1-RAD51,CHP1,11261,RAD51,5888
hg56994tg7296,CHPT1-TXNRD1,CHPT1,56994,TXNRD1,7296
