FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg2tg387836,A2M-CLEC2A,A2M,2,CLEC2A,387836
hg2tg5265,A2M-SERPINA1,A2M,2,SERPINA1,5265
hg65985tg196385,AACS-DNAH10,AACS,65985,DNAH10,196385
hg79719tg4088,AAGAB-SMAD3,AAGAB,79719,SMAD3,4088
hg22848tg54980,AAK1-C2orf42,AAK1,22848,C2orf42,54980
hg22848tg84641,AAK1-HIATL1,AAK1,22848,HIATL1,84641
hg22848tg27247,AAK1-NFU1,AAK1,22848,NFU1,27247
hg22848tg22976,AAK1-PAXIP1,AAK1,22848,PAXIP1,22976
hg22848tg54432,AAK1-YIPF1,AAK1,22848,YIPF1,54432
hg28971tg10648,AAMDC-SCGB1D1,AAMDC,28971,SCGB1D1,10648
hg14tg55139,AAMP-ANKZF1,AAMP,14,ANKZF1,55139
hg14tg57574,AAMP-MARCH4,AAMP,14,MARCH4,57574
hg16tg25839,AARS-COG4,AARS,16,COG4,25839
hg16tg23368,AARS-PPP1R13B,AARS,16,PPP1R13B,23368
hg16tg6483,AARS-ST3GAL2,AARS,16,ST3GAL2,6483
hg57505tg221409,AARS2-SPATS1,AARS2,57505,SPATS1,221409
hg80755tg1140,AARSD1-CHRNB1,AARSD1,80755,CHRNB1,1140
hg132949tg57545,AASDH-CC2D2A,AASDH,132949,CC2D2A,57545
hg132949tg339977,AASDH-LRRC66,AASDH,132949,LRRC66,339977
hg60496tg114769,AASDHPPT-CARD16,AASDHPPT,60496,CARD16,114769
hg60496tg834,AASDHPPT-CASP1,AASDHPPT,60496,CASP1,834
hg26574tg31,AATF-ACACA,AATF,26574,ACACA,31
hg26574tg9774,AATF-BCLAF1,AATF,26574,BCLAF1,9774
hg26574tg146754,AATF-DNAH2,AATF,26574,DNAH2,146754
hg26574tg9570,AATF-GOSR2,AATF,26574,GOSR2,9570
hg26574tg27328,AATF-PCDH11X,AATF,26574,PCDH11X,27328
hg26574tg6147,AATF-RPL23A,AATF,26574,RPL23A,6147
hg26574tg7326,AATF-UBE2G1,AATF,26574,UBE2G1,7326
hg19tg79899,ABCA1-PRR5L,ABCA1,19,PRR5L,79899
hg19tg5878,ABCA1-RAB5C,ABCA1,19,RAB5C,5878
hg19tg158399,ABCA1-ZNF483,ABCA1,19,ZNF483,158399
hg154664tg644,ABCA13-BLVRA,ABCA13,154664,BLVRA,644
hg20tg6812,ABCA2-STXBP1,ABCA2,20,STXBP1,6812
hg21tg21,ABCA3-ABCA3,ABCA3,21,ABCA3,21
hg23461tg339210,ABCA5-C17orf67,ABCA5,23461,C17orf67,339210
hg23461tg54799,ABCA5-MBTD1,ABCA5,23461,MBTD1,54799
hg10347tg6794,ABCA7-STK11,ABCA7,10347,STK11,6794
hg10350tg201134,ABCA9-CEP112,ABCA9,10350,CEP112,201134
hg22tg55902,ABCB7-ACSS2,ABCB7,22,ACSS2,55902
hg11194tg11194,ABCB8-ABCB8,ABCB8,11194,ABCB8,11194
hg11194tg4846,ABCB8-NOS3,ABCB8,11194,NOS3,4846
hg23457tg1967,ABCB9-EIF2B1,ABCB9,23457,EIF2B1,1967
hg4363tg89927,ABCC1-C16orf45,ABCC1,4363,C16orf45,89927
hg4363tg9229,ABCC1-DLGAP1,ABCC1,4363,DLGAP1,9229
hg1244tg29119,ABCC2-CTNNA3,ABCC2,1244,CTNNA3,29119
hg8714tg91369,ABCC3-ANKRD40,ABCC3,8714,ANKRD40,91369
hg8714tg80736,ABCC3-SLC44A4,ABCC3,8714,SLC44A4,80736
hg10257tg728591,ABCC4-CCDC169,ABCC4,10257,CCDC169,728591
hg10257tg5775,ABCC4-PTPN4,ABCC4,10257,PTPN4,5775
hg10257tg8796,ABCC4-SCEL,ABCC4,10257,SCEL,8796
hg10057tg3267,ABCC5-AGFG1,ABCC5,10057,AGFG1,3267
hg10057tg23200,ABCC5-ATP11B,ABCC5,10057,ATP11B,23200
hg10057tg8881,ABCC5-CDC16,ABCC5,10057,CDC16,8881
hg10057tg54165,ABCC5-DCUN1D1,ABCC5,10057,DCUN1D1,54165
hg10057tg10985,ABCC5-GCN1L1,ABCC5,10057,GCN1L1,10985
hg10057tg54682,ABCC5-MANSC1,ABCC5,10057,MANSC1,54682
hg10057tg254827,ABCC5-NAALADL2,ABCC5,10057,NAALADL2,254827
hg10057tg9727,ABCC5-RAB11FIP3,ABCC5,10057,RAB11FIP3,9727
hg10057tg6687,ABCC5-SPG7,ABCC5,10057,SPG7,6687
hg10057tg7045,ABCC5-TGFBI,ABCC5,10057,TGFBI,7045
hg5825tg9411,ABCD3-ARHGAP29,ABCD3,5825,ARHGAP29,9411
hg5826tg91748,ABCD4-ELMSAN1,ABCD4,5826,ELMSAN1,91748
hg9619tg150365,ABCG1-MEI1,ABCG1,9619,MEI1,150365
hg26090tg955,ABHD12-ENTPD6,ABHD12,26090,ENTPD6,955
hg26090tg6874,ABHD12-TAF4,ABHD12,26090,TAF4,6874
hg84836tg25886,ABHD14B-POC1A,ABHD14B,84836,POC1A,25886
hg7920tg1192,ABHD16A-CLIC1,ABHD16A,7920,CLIC1,1192
hg7920tg259215,ABHD16A-LY6G6F,ABHD16A,7920,LY6G6F,259215
hg7920tg7407,ABHD16A-VARS,ABHD16A,7920,VARS,7407
hg81926tg8943,ABHD17A-AP3D1,ABHD17A,81926,AP3D1,8943
hg81926tg4701,ABHD17A-NDUFA7,ABHD17A,81926,NDUFA7,4701
hg81926tg6929,ABHD17A-TCF3,ABHD17A,81926,TCF3,6929
hg171586tg147463,ABHD3-ANKRD29,ABHD3,171586,ANKRD29,147463
hg63874tg122706,ABHD4-PSMB11,ABHD4,63874,PSMB11,122706
hg57406tg2317,ABHD6-FLNB,ABHD6,57406,FLNB,2317
hg79575tg80308,ABHD8-FLAD1,ABHD8,79575,FLAD1,80308
hg10006tg8029,ABI1-CUBN,ABI1,10006,CUBN,8029
hg10006tg125228,ABI1-FAM210A,ABI1,10006,FAM210A,125228
hg10006tg10730,ABI1-YME1L1,ABI1,10006,YME1L1,10730
hg10152tg5119,ABI2-CHMP1A,ABI2,10152,CHMP1A,5119
hg10152tg57404,ABI2-CYP20A1,ABI2,10152,CYP20A1,57404
hg10152tg1730,ABI2-DIAPH2,ABI2,10152,DIAPH2,1730
hg10152tg4288,ABI2-MKI67,ABI2,10152,MKI67,4288
hg10152tg8725,ABI2-URI1,ABI2,10152,URI1,8725
hg25890tg57488,ABI3BP-ESYT2,ABI3BP,25890,ESYT2,57488
hg25890tg400818,ABI3BP-NBPF9,ABI3BP,25890,NBPF9,400818
hg25890tg10342,ABI3BP-TFG,ABI3BP,25890,TFG,10342
hg25tg23048,ABL1-FNBP1,ABL1,25,FNBP1,23048
hg25tg8021,ABL1-NUP214,ABL1,25,NUP214,8021
hg27tg388011,ABL2-C14orf64,ABL2,27,C14orf64,388011
hg27tg3756,ABL2-KCNH1,ABL2,27,KCNH1,3756
hg27tg100134938,ABL2-UPK3BL,ABL2,27,UPK3BL,100134938
hg3983tg55216,ABLIM1-C11orf57,ABLIM1,3983,C11orf57,55216
hg3983tg92565,ABLIM1-FANK1,ABLIM1,3983,FANK1,92565
hg3983tg3500,ABLIM1-IGHG1,ABLIM1,3983,IGHG1,3500
hg3983tg79810,ABLIM1-PTCD2,ABLIM1,3983,PTCD2,79810
hg84448tg5522,ABLIM2-PPP2R2C,ABLIM2,84448,PPP2R2C,5522
hg29tg575,ABR-BAI1,ABR,29,BAI1,575
hg29tg1398,ABR-CRK,ABR,29,CRK,1398
hg29tg11325,ABR-DDX42,ABR,29,DDX42,11325
hg29tg359845,ABR-FAM101B,ABR,29,FAM101B,359845
hg29tg50628,ABR-GEMIN4,ABR,29,GEMIN4,50628
hg29tg4125,ABR-MAN2B1,ABR,29,MAN2B1,4125
hg29tg4641,ABR-MYO1C,ABR,29,MYO1C,4641
hg29tg64359,ABR-NXN,ABR,29,NXN,64359
hg29tg5306,ABR-PITPNA,ABR,29,PITPNA,5306
hg29tg146760,ABR-RTN4RL1,ABR,29,RTN4RL1,146760
hg29tg55776,ABR-SAYSD1,ABR,29,SAYSD1,55776
hg29tg23293,ABR-SMG6,ABR,29,SMG6,23293
hg29tg7531,ABR-YWHAE,ABR,29,YWHAE,7531
hg58527tg64065,ABRACL-PERP,ABRACL,58527,PERP,64065
hg25841tg51074,ABTB2-APIP,ABTB2,25841,APIP,51074
hg25841tg22992,ABTB2-KDM2A,ABTB2,25841,KDM2A,22992
hg25841tg4707,ABTB2-NDUFB1,ABTB2,25841,NDUFB1,4707
hg25841tg7299,ABTB2-TYR,ABTB2,25841,TYR,7299
hg30tg30,ACAA1-ACAA1,ACAA1,30,ACAA1,30
hg30tg3192,ACAA1-HNRNPU,ACAA1,30,HNRNPU,3192
hg10449tg4645,ACAA2-MYO5B,ACAA2,10449,MYO5B,4645
hg31tg26574,ACACA-AATF,ACACA,31,AATF,26574
hg31tg8754,ACACA-ADAM9,ACACA,31,ADAM9,8754
hg31tg40,ACACA-ASIC2,ACACA,31,ASIC2,40
hg31tg64149,ACACA-C17orf75,ACACA,31,C17orf75,64149
hg31tg284099,ACACA-C17orf78,ACACA,31,C17orf78,284099
hg31tg6352,ACACA-CCL5,ACACA,31,CCL5,6352
hg31tg1528,ACACA-CYB5A,ACACA,31,CYB5A,1528
hg31tg11056,ACACA-DDX52,ACACA,31,DDX52,11056
hg31tg84923,ACACA-FAM104A,ACACA,31,FAM104A,84923
hg31tg79893,ACACA-GGNBP2,ACACA,31,GGNBP2,79893
hg31tg144321,ACACA-GLIPR1L2,ACACA,31,GLIPR1L2,144321
hg31tg55876,ACACA-GSDMB,ACACA,31,GSDMB,55876
hg31tg203100,ACACA-HTRA4,ACACA,31,HTRA4,203100
hg31tg3927,ACACA-LASP1,ACACA,31,LASP1,3927
hg31tg3965,ACACA-LGALS9,ACACA,31,LGALS9,3965
hg31tg5469,ACACA-MED1,ACACA,31,MED1,5469
hg31tg79148,ACACA-MMP28,ACACA,31,MMP28,79148
hg31tg22843,ACACA-PPM1E,ACACA,31,PPM1E,22843
hg31tg5578,ACACA-PRKCA,ACACA,31,PRKCA,5578
hg31tg80725,ACACA-SRCIN1,ACACA,31,SRCIN1,80725
hg31tg85464,ACACA-SSH2,ACACA,31,SSH2,85464
hg31tg342667,ACACA-STAC2,ACACA,31,STAC2,342667
hg31tg6871,ACACA-TADA2A,ACACA,31,TADA2A,6871
hg31tg26115,ACACA-TANC2,ACACA,31,TANC2,26115
hg31tg84951,ACACA-TNS4,ACACA,31,TNS4,84951
hg32tg7374,ACACB-UNG,ACACB,32,UNG,7374
hg84129tg79876,ACAD11-UBA5,ACAD11,84129,UBA5,79876
hg28976tg57501,ACAD9-KIAA1257,ACAD9,28976,KIAA1257,57501
hg28976tg7879,ACAD9-RAB7A,ACAD9,28976,RAB7A,7879
hg35tg5564,ACADS-PRKAB1,ACADS,35,PRKAB1,5564
hg176tg8736,ACAN-MYOM1,ACAN,176,MYOM1,8736
hg23527tg1739,ACAP2-DLG1,ACAP2,23527,DLG1,1739
hg23527tg81704,ACAP2-DOCK8,ACAP2,23527,DOCK8,81704
hg23527tg84223,ACAP2-IQCG,ACAP2,23527,IQCG,84223
hg23527tg152002,ACAP2-XXYLT1,ACAP2,23527,XXYLT1,152002
hg116983tg54973,ACAP3-CPSF3L,ACAP3,116983,CPSF3L,54973
hg116983tg1855,ACAP3-DVL1,ACAP3,116983,DVL1,1855
hg39tg3500,ACAT2-IGHG1,ACAT2,39,IGHG1,3500
hg39tg3501,ACAT2-IGHG2,ACAT2,39,IGHG2,3501
hg64746tg79139,ACBD3-DERL1,ACBD3,64746,DERL1,79139
hg64746tg142,ACBD3-PARP1,ACBD3,64746,PARP1,142
hg79777tg9884,ACBD4-LRRC37A,ACBD4,79777,LRRC37A,9884
hg91452tg10730,ACBD5-YME1L1,ACBD5,91452,YME1L1,10730
hg84320tg160857,ACBD6-CCDC122,ACBD6,84320,CCDC122,160857
hg84320tg54856,ACBD6-GON4L,ACBD6,84320,GON4L,54856
hg84320tg51018,ACBD6-RRP15,ACBD6,84320,RRP15,51018
hg65057tg9727,ACD-RAB11FIP3,ACD,65057,RAB11FIP3,9727
hg1636tg4215,ACE-MAP3K3,ACE,1636,MAP3K3,4215
hg59272tg4935,ACE2-GPR143,ACE2,59272,GPR143,4935
hg55331tg283742,ACER3-FAM98B,ACER3,55331,FAM98B,283742
hg55331tg9873,ACER3-FCHSD2,ACER3,55331,FCHSD2,9873
hg55331tg79731,ACER3-NARS2,ACER3,55331,NARS2,79731
hg55331tg10940,ACER3-POP1,ACER3,55331,POP1,10940
hg55331tg26036,ACER3-ZNF451,ACER3,55331,ZNF451,26036
hg43tg55610,ACHE-CCDC132,ACHE,43,CCDC132,55610
hg22985tg57698,ACIN1-KIAA1598,ACIN1,22985,KIAA1598,57698
hg47tg26574,ACLY-AATF,ACLY,47,AATF,26574
hg47tg7266,ACLY-DNAJC7,ACLY,47,DNAJC7,7266
hg47tg81558,ACLY-FAM117A,ACLY,47,FAM117A,81558
hg47tg8148,ACLY-TAF15,ACLY,47,TAF15,8148
hg47tg7465,ACLY-WEE1,ACLY,47,WEE1,7465
hg48tg48,ACO1-ACO1,ACO1,48,ACO1,48
hg50tg23779,ACO2-ARHGAP8,ACO2,50,ARHGAP8,23779
hg50tg114905,ACO2-C1QTNF7,ACO2,50,C1QTNF7,114905
hg50tg91464,ACO2-ISX,ACO2,50,ISX,91464
hg50tg55201,ACO2-MAP1S,ACO2,50,MAP1S,55201
hg50tg6904,ACO2-TBCD,ACO2,50,TBCD,6904
hg50tg7008,ACO2-TEF,ACO2,50,TEF,7008
hg50tg7319,ACO2-UBE2A,ACO2,50,UBE2A,7319
hg50tg23264,ACO2-ZC3H7B,ACO2,50,ZC3H7B,23264
hg26027tg2475,ACOT11-MTOR,ACOT11,26027,MTOR,2475
hg134526tg23635,ACOT12-SSBP2,ACOT12,134526,SSBP2,23635
hg11332tg26038,ACOT7-CHD5,ACOT7,11332,CHD5,26038
hg11332tg2517,ACOT7-FUCA1,ACOT7,11332,FUCA1,2517
hg11332tg9903,ACOT7-KLHL21,ACOT7,11332,KLHL21,9903
hg11332tg142678,ACOT7-MIB2,ACOT7,11332,MIB2,142678
hg11332tg286053,ACOT7-NSMCE2,ACOT7,11332,NSMCE2,286053
hg11332tg57449,ACOT7-PLEKHG5,ACOT7,11332,PLEKHG5,57449
hg11332tg6146,ACOT7-RPL22,ACOT7,11332,RPL22,6146
hg11332tg8718,ACOT7-TNFRSF25,ACOT7,11332,TNFRSF25,8718
hg23597tg79135,ACOT9-APOO,ACOT9,23597,APOO,79135
hg51tg9775,ACOX1-EIF4A3,ACOX1,51,EIF4A3,9775
hg51tg23265,ACOX1-EXOC7,ACOX1,51,EXOC7,23265
hg51tg28227,ACOX1-PPP2R3B,ACOX1,51,PPP2R3B,28227
hg51tg5578,ACOX1-PRKCA,ACOX1,51,PRKCA,5578
hg51tg6730,ACOX1-SRP68,ACOX1,51,SRP68,6730
hg51tg7325,ACOX1-UBE2E2,ACOX1,51,UBE2E2,7325
hg55289tg151230,ACOXL-KLHL23,ACOXL,55289,KLHL23,151230
hg55289tg137970,ACOXL-UNC5D,ACOXL,55289,UNC5D,137970
hg52tg26751,ACP1-SH3YL1,ACP1,52,SH3YL1,26751
hg53tg972,ACP2-CD74,ACP2,53,CD74,972
hg53tg51642,ACP2-MRPL48,ACP2,53,MRPL48,51642
hg51205tg55793,ACP6-FAM63A,ACP6,51205,FAM63A,55793
hg51205tg768211,ACP6-RELL1,ACP6,51205,RELL1,768211
hg55tg23600,ACPP-AMACR,ACPP,55,AMACR,23600
hg55tg558,ACPP-AXL,ACPP,55,AXL,558
hg55tg613,ACPP-BCR,ACPP,55,BCR,613
hg55tg4852,ACPP-NPY,ACPP,55,NPY,4852
hg55tg8473,ACPP-OGT,ACPP,55,OGT,8473
hg55tg51109,ACPP-RDH11,ACPP,55,RDH11,51109
hg55tg54795,ACPP-TRPM4,ACPP,55,TRPM4,54795
hg197322tg57644,ACSF3-MYH7B,ACSF3,197322,MYH7B,57644
hg197322tg158399,ACSF3-ZNF483,ACSF3,197322,ZNF483,158399
hg2180tg832,ACSL1-CAPZB,ACSL1,2180,CAPZB,832
hg2180tg51191,ACSL1-HERC5,ACSL1,2180,HERC5,51191
hg2181tg2115,ACSL3-ETV1,ACSL3,2181,ETV1,2115
hg2181tg50485,ACSL3-SMARCAL1,ACSL3,2181,SMARCAL1,50485
hg51703tg11101,ACSL5-ATE1,ACSL5,51703,ATE1,11101
hg23305tg8760,ACSL6-CDS2,ACSL6,23305,CDS2,8760
hg6296tg84627,ACSM3-ZNF469,ACSM3,6296,ZNF469,84627
hg84532tg1002,ACSS1-CDH4,ACSS1,84532,CDH4,1002
hg84532tg23348,ACSS1-DOCK9,ACSS1,84532,DOCK9,23348
hg84532tg116154,ACSS1-PHACTR3,ACSS1,84532,PHACTR3,116154
hg84532tg60685,ACSS1-ZFAND3,ACSS1,84532,ZFAND3,60685
hg55902tg2937,ACSS2-GSS,ACSS2,55902,GSS,2937
hg79611tg3643,ACSS3-INSR,ACSS3,79611,INSR,3643
hg59tg1291,ACTA2-COL6A1,ACTA2,59,COL6A1,1291
hg60tg988,ACTB-CDC5L,ACTB,60,CDC5L,988
hg60tg2665,ACTB-GDI2,ACTB,60,GDI2,2665
hg60tg2735,ACTB-GLI1,ACTB,60,GLI1,2735
hg60tg2746,ACTB-GLUD1,ACTB,60,GLUD1,2746
hg60tg3868,ACTB-KRT16,ACTB,60,KRT16,3868
hg71tg22948,ACTG1-CCT5,ACTG1,71,CCT5,22948
hg71tg3872,ACTG1-KRT17,ACTG1,71,KRT17,3872
hg71tg4286,ACTG1-MITF,ACTG1,71,MITF,4286
hg71tg54475,ACTG1-NLE1,ACTG1,71,NLE1,54475
hg71tg152485,ACTG1-ZNF827,ACTG1,71,ZNF827,152485
hg72tg165,ACTG2-AEBP1,ACTG2,72,AEBP1,165
hg72tg238,ACTG2-ALK,ACTG2,72,ALK,238
hg72tg2316,ACTG2-FLNA,ACTG2,72,FLNA,2316
hg72tg4629,ACTG2-MYH11,ACTG2,72,MYH11,4629
hg72tg5584,ACTG2-PRKCI,ACTG2,72,PRKCI,5584
hg86tg57129,ACTL6A-MRPL47,ACTL6A,86,MRPL47,57129
hg86tg8500,ACTL6A-PPFIA1,ACTL6A,86,PPFIA1,8500
hg87tg8816,ACTN1-DCAF5,ACTN1,87,DCAF5,8816
hg81tg333,ACTN4-APLP1,ACTN4,81,APLP1,333
hg81tg147968,ACTN4-CAPN12,ACTN4,81,CAPN12,147968
hg81tg57828,ACTN4-CATSPERG,ACTN4,81,CATSPERG,57828
hg81tg117286,ACTN4-CIB3,ACTN4,81,CIB3,117286
hg81tg1601,ACTN4-DAB2,ACTN4,81,DAB2,1601
hg81tg26528,ACTN4-DAZAP1,ACTN4,81,DAZAP1,26528
hg81tg27335,ACTN4-EIF3K,ACTN4,81,EIF3K,27335
hg81tg653499,ACTN4-LGALS7B,ACTN4,81,LGALS7B,653499
hg81tg4858,ACTN4-NOVA2,ACTN4,81,NOVA2,4858
hg81tg51060,ACTN4-TXNDC12,ACTN4,81,TXNDC12,51060
hg55860tg283078,ACTR10-MKX,ACTR10,55860,MKX,283078
hg10121tg403,ACTR1A-ARL3,ACTR1A,10121,ARL3,403
hg10121tg124989,ACTR1A-EFCAB13,ACTR1A,10121,EFCAB13,124989
hg10121tg2217,ACTR1A-FCGRT,ACTR1A,10121,FCGRT,2217
hg10121tg79991,ACTR1A-OBFC1,ACTR1A,10121,OBFC1,79991
hg10097tg80705,ACTR2-TSGA10,ACTR2,10097,TSGA10,80705
hg10096tg90736,ACTR3-FAM104B,ACTR3,10096,FAM104B,90736
hg10096tg3500,ACTR3-IGHG1,ACTR3,10096,IGHG1,3500
hg10096tg84172,ACTR3-POLR1B,ACTR3,10096,POLR1B,84172
hg79913tg58490,ACTR5-RPRD1B,ACTR5,79913,RPRD1B,58490
hg79913tg7764,ACTR5-ZNF217,ACTR5,79913,ZNF217,7764
hg91tg160622,ACVR1B-GRASP,ACVR1B,91,GRASP,160622
hg91tg5094,ACVR1B-PCBP2,ACVR1B,91,PCBP2,5094
hg130399tg130940,ACVR1C-CCDC148,ACVR1C,130399,CCDC148,130940
hg92tg841,ACVR2A-CASP8,ACVR2A,92,CASP8,841
hg92tg26122,ACVR2A-EPC2,ACVR2A,92,EPC2,26122
hg92tg7341,ACVR2A-SUMO1,ACVR2A,92,SUMO1,7341
hg97tg55379,ACYP1-LRRC59,ACYP1,97,LRRC59,55379
hg98tg400954,ACYP2-EML6,ACYP2,98,EML6,400954
hg98tg5500,ACYP2-PPP1CB,ACYP2,98,PPP1CB,5500
hg161823tg145645,ADAL-C15orf43,ADAL,161823,C15orf43,145645
hg102tg79572,ADAM10-ATP13A3,ADAM10,102,ATP13A3,79572
hg102tg645,ADAM10-BLVRB,ADAM10,102,BLVRB,645
hg8751tg80308,ADAM15-FLAD1,ADAM15,8751,FLAD1,80308
hg8751tg64979,ADAM15-MRPL36,ADAM15,8751,MRPL36,64979
hg6868tg79840,ADAM17-NHEJ1,ADAM17,6868,NHEJ1,79840
hg8749tg27257,ADAM18-LSM1,ADAM18,8749,LSM1,27257
hg53616tg51666,ADAM22-ASB4,ADAM22,53616,ASB4,51666
hg8745tg375298,ADAM23-CERKL,ADAM23,8745,CERKL,375298
hg8754tg10863,ADAM9-ADAM28,ADAM9,8754,ADAM28,10863
hg8754tg339263,ADAM9-C17orf51,ADAM9,8754,C17orf51,339263
hg8754tg171425,ADAM9-CLYBL,ADAM9,8754,CLYBL,171425
hg8754tg203100,ADAM9-HTRA4,ADAM9,8754,HTRA4,203100
hg8754tg157855,ADAM9-KCNU1,ADAM9,8754,KCNU1,157855
hg8754tg4135,ADAM9-MAP6,ADAM9,8754,MAP6,4135
hg8754tg389690,ADAM9-MROH5,ADAM9,8754,MROH5,389690
hg8754tg8601,ADAM9-RGS20,ADAM9,8754,RGS20,8601
hg8754tg137970,ADAM9-UNC5D,ADAM9,8754,UNC5D,137970
hg27299tg11342,ADAMDEC1-RNF13,ADAMDEC1,27299,RNF13,11342
hg81794tg4298,ADAMTS10-MLLT1,ADAMTS10,81794,MLLT1,4298
hg11093tg9355,ADAMTS13-LHX2,ADAMTS13,11093,LHX2,9355
hg170689tg8538,ADAMTS15-BARX2,ADAMTS15,170689,BARX2,8538
hg170690tg7015,ADAMTS16-TERT,ADAMTS16,170690,TERT,7015
hg170691tg204219,ADAMTS17-CERS3,ADAMTS17,170691,CERS3,204219
hg170691tg1902,ADAMTS17-LPAR1,ADAMTS17,170691,LPAR1,1902
hg170691tg4689,ADAMTS17-NCF4,ADAMTS17,170691,NCF4,4689
hg170691tg56147,ADAMTS17-PCDHA1,ADAMTS17,170691,PCDHA1,56147
hg170691tg56139,ADAMTS17-PCDHA10,ADAMTS17,170691,PCDHA10,56139
hg170691tg56138,ADAMTS17-PCDHA11,ADAMTS17,170691,PCDHA11,56138
hg170691tg56137,ADAMTS17-PCDHA12,ADAMTS17,170691,PCDHA12,56137
hg170691tg56136,ADAMTS17-PCDHA13,ADAMTS17,170691,PCDHA13,56136
hg170691tg56146,ADAMTS17-PCDHA2,ADAMTS17,170691,PCDHA2,56146
hg170691tg56145,ADAMTS17-PCDHA3,ADAMTS17,170691,PCDHA3,56145
hg170691tg56144,ADAMTS17-PCDHA4,ADAMTS17,170691,PCDHA4,56144
hg170691tg56143,ADAMTS17-PCDHA5,ADAMTS17,170691,PCDHA5,56143
hg170691tg56142,ADAMTS17-PCDHA6,ADAMTS17,170691,PCDHA6,56142
hg170691tg56141,ADAMTS17-PCDHA7,ADAMTS17,170691,PCDHA7,56141
hg170691tg56140,ADAMTS17-PCDHA8,ADAMTS17,170691,PCDHA8,56140
hg170691tg9752,ADAMTS17-PCDHA9,ADAMTS17,170691,PCDHA9,9752
hg170691tg56135,ADAMTS17-PCDHAC1,ADAMTS17,170691,PCDHAC1,56135
hg170691tg56134,ADAMTS17-PCDHAC2,ADAMTS17,170691,PCDHAC2,56134
hg171019tg28965,ADAMTS19-SLC27A6,ADAMTS19,171019,SLC27A6,28965
hg80070tg64897,ADAMTS20-C12orf43,ADAMTS20,80070,C12orf43,64897
hg11096tg116159,ADAMTS5-CYYR1,ADAMTS5,11096,CYYR1,116159
hg11096tg10395,ADAMTS5-DLC1,ADAMTS5,11096,DLC1,10395
hg56999tg10752,ADAMTS9-CHL1,ADAMTS9,56999,CHL1,10752
hg56999tg166336,ADAMTS9-PRICKLE2,ADAMTS9,56999,PRICKLE2,166336
hg56999tg132204,ADAMTS9-SYNPR,ADAMTS9,56999,SYNPR,132204
hg56999tg54986,ADAMTS9-ULK4,ADAMTS9,56999,ULK4,54986
hg54507tg25873,ADAMTSL4-RPL36,ADAMTSL4,54507,RPL36,25873
hg11033tg84310,ADAP1-C7orf50,ADAP1,11033,C7orf50,84310
hg11033tg90639,ADAP1-COX19,ADAP1,11033,COX19,90639
hg11033tg1975,ADAP1-EIF4B,ADAP1,11033,EIF4B,1975
hg11033tg51608,ADAP1-GET4,ADAP1,11033,GET4,51608
hg11033tg9221,ADAP1-NOLC1,ADAP1,11033,NOLC1,9221
hg11033tg9230,ADAP1-RAB11B,ADAP1,11033,RAB11B,9230
hg11033tg23353,ADAP1-SUN1,ADAP1,11033,SUN1,23353
hg103tg55870,ADAR-ASH1L,ADAR,103,ASH1L,55870
hg103tg22948,ADAR-CCT5,ADAR,103,CCT5,22948
hg103tg200185,ADAR-KRTCAP2,ADAR,103,KRTCAP2,200185
hg105tg6251,ADARB2-RSU1,ADARB2,105,RSU1,6251
hg134637tg51534,ADAT2-VTA1,ADAT2,134637,VTA1,51534
hg79934tg10270,ADCK4-AKAP8,ADCK4,79934,AKAP8,10270
hg203054tg29894,ADCK5-CPSF1,ADCK5,203054,CPSF1,29894
hg203054tg3633,ADCK5-INPP5B,ADCK5,203054,INPP5B,3633
hg108tg83737,ADCY2-ITCH,ADCY2,108,ITCH,83737
hg109tg23352,ADCY3-UBR4,ADCY3,109,UBR4,23352
hg112tg10540,ADCY6-DCTN2,ADCY6,112,DCTN2,10540
hg115tg23059,ADCY9-CLUAP1,ADCY9,115,CLUAP1,23059
hg115tg197358,ADCY9-NLRC3,ADCY9,115,NLRC3,197358
hg115tg10956,ADCY9-OS9,ADCY9,115,OS9,10956
hg115tg51025,ADCY9-PAM16,ADCY9,115,PAM16,51025
hg115tg83886,ADCY9-PRSS27,ADCY9,115,PRSS27,83886
hg115tg11228,ADCY9-RASSF8,ADCY9,115,RASSF8,11228
hg115tg23111,ADCY9-SPG20,ADCY9,115,SPG20,23111
hg115tg7023,ADCY9-TFAP4,ADCY9,115,TFAP4,7023
hg117tg1687,ADCYAP1R1-DFNA5,ADCYAP1R1,117,DFNA5,1687
hg117tg2692,ADCYAP1R1-GHRHR,ADCYAP1R1,117,GHRHR,2692
hg118tg493,ADD1-ATP2B4,ADD1,118,ATP2B4,493
hg118tg2868,ADD1-GRK4,ADD1,118,GRK4,2868
hg119tg84168,ADD2-ANTXR1,ADD2,119,ANTXR1,84168
hg120tg4928,ADD3-NUP98,ADD3,120,NUP98,4928
hg131tg643,ADH7-CXCR5,ADH7,131,CXCR5,643
hg55256tg56655,ADI1-POLE4,ADI1,55256,POLE4,56655
hg55256tg80829,ADI1-ZFP91,ADI1,55256,ZFP91,80829
hg51094tg1603,ADIPOR1-DAD1,ADIPOR1,51094,DAD1,1603
hg51094tg85397,ADIPOR1-RGS8,ADIPOR1,51094,RGS8,85397
hg79602tg116154,ADIPOR2-PHACTR3,ADIPOR2,79602,PHACTR3,116154
